952.4,2.9768,0.09
545,3.413,0.1587
233.92,3.3513,0.2383
530,2.5707,0.4228
119.07,3.066,0.2268
185.18,2.9145,0.2679
199.83,2.9359,0.2766
135.89,2.5449,0.2426
190,2.6783,0.118
407.12,3.5009,0.0717
153.33,2.6979,0.1803
112.77,2.8504,0.1765
207.64,2.7928,0.0825
152,3.0162,0.159
255.33,3.1396,0.2094
253.16,3.322,0.1203
140.57,2.7976,0.2225
200,2.8298,0.037
145.5,2.7537,0.2096
181,3.2011,0.1419
107.53,3.2426,0.2536
198,3.5291,0.067
120.9,3.1958,0.1763
212.22,2.7395,0.1793
100.15,2.6659,0.1714
255.9,3.8555,0.0543
113.54,2.9687,0.0541
103.11,3.6697,0.0662
105.61,3.5804,0.0654
108.35,3.102,0.1826
115.93,3.1639,0.0618
149.52,3.0845,0.2869
107.62,2.3737,0.2418
174,3.5203,0.0828
100.2,2.9852,0.1712
214.63,2.9466,0.0398
124.14,2.9596,0.0519
126.96,3.2622,0.0801
221.8,3.3382,0.0624
149.8,3.7982,0.0597
147.86,2.5247,0.0928
302.5,3.428,0.0578
115.38,3.1578,0.0397
165.75,3.2481,0.0555
113.24,3.2152,0.0653
112.59,3.5129,0.2149
164.8,3.0358,0.0438
103.14,2.7011,0.1586
237.26,3.8063,0.0706
122.57,3.3011,0.2283
138.13,3.482,0.1402
122.17,3.092,0.0675
118.71,3.445,0.0431
183.66,3.9826,0.0362
120.6,3.1622,0.0706
119.08,3.447,0.0505
154.79,3.1665,0.0666
120.56,3.7626,0.0466
260.94,3.7992,0.0435
232,3.223,0.0671
151.46,3.0168,0.1764
120.07,3.6701,0.0603
109.81,2.8661,0.0426
126.42,3.5167,0.2509
141.55,3.1431,0.0733
204.89,3.4396,0.0395
136.04,3.5324,0.0698
170.02,3.4765,0.0523
104.45,3.1879,0.0471
123.68,3.6393,0.0568
119.08,2.7952,0.0465
146.59,3.7071,0.0893
222.62,3.7202,0.0525
134.55,2.864,0.0605
148.71,3.0757,0.0528
174.1,3.2917,0.0463
209,3.9134,0.0482
188.16,3.093,0.0504
113,3.4758,0.164
182.25,3.7743,0.0755
108,2.8642,0.0364
145.42,3.7946,0.0503
156.6,3.2686,0.0557
109.79,3.324,0.0676
131.03,3.237,0.054
142.38,3.2792,0.0597
151.14,3.0595,0.0433
132.21,2.8986,0.0531
132.93,3.2264,0.0492
151.13,3.3602,0.0395
170.63,4.5262,0.0618
184.93,3.4414,0.048
120.99,3.3469,0.0422
124.97,3.4376,0.0639
104.87,3.541,0.0447
154.78,3.3909,0.0642
148.39,3.6062,0.0535
116.69,3.5411,0.0615
154.1,3.3089,0.0642
101.17,3.9249,0.0819
121.04,3.7151,0.0834
106.66,3.7659,0.1135
157.51,3.0914,0.0638
130.4,3.3853,0.0566
159,4.6662,0.066
101.03,3.158,0.0408
103.26,2.9941,0.233
168.42,3.2372,0.0528
136.39,3.1735,0.2299
128.36,3.1035,0.0533
116.25,2.8993,0.041
159.94,3.3346,0.0349
143.19,3.5325,0.0602
136.12,3.446,0.0465
124,3.4937,0.1164
103.87,3.3251,0.14
120.49,4.2868,0.0396
108.99,2.5293,0.1708
102.78,2.9291,0.087
148.49,3.158,0.0428
103.9,3.2146,0.0411
168.9,3.3593,0.0575
134.43,3.4081,0.0595
178.6,3.5342,0.0436
109.09,3.2444,0.0448
139.89,3.5143,0.044
103,3.2234,0.036
121.6,3.3296,0.045
126.59,4.3378,0.0412
148.06,3.4994,0.0262
140.69,2.8574,0.0482
229.44,3.5901,0.0628
122.92,3.4422,0.0425
158.55,3.9815,0.0618
132.27,3.4131,0.0592
106.52,3.0733,0.2189
139.77,3.1903,0.384
118.35,3.6076,0.0566
155.17,3.1215,0.1948
131.31,3.4143,0.0528
106.1,3.3808,0.051
115.76,3.5386,0.0535
141.72,4.8118,0.0453
105.92,3.2427,0.0335
188.62,3.9692,0.0655
120.58,3.5238,0.0609
165.01,3.3925,0.0692
100.51,3.3874,0.19
114.17,3.1975,0.0506
124.9,3.2143,0.0468
161.61,2.7638,0.0606
123.57,3.3806,0.0554
129.01,3.2504,0.0455
141.25,3.5209,0.042
208.77,3.1855,0.0515
127.1,3.1891,0.0469
163.08,3.2551,0.049
224.96,3.2928,0.0764
115.53,3.6627,0.0634
125.57,3.6843,0.0399
134.19,3.5589,0.1994
116.76,2.8453,0.0493
150.13,3.6716,0.0589
139.39,3.2931,0.0427
115.55,3.473,0.0622
115,3.3453,0.04
