952.4,0.09
545,0.1587
233.92,0.2383
530,0.4228
119.07,0.2268
185.18,0.2679
199.83,0.2766
135.89,0.2426
190,0.118
407.12,0.0717
153.33,0.1803
112.77,0.1765
207.64,0.0825
152,0.159
255.33,0.2094
253.16,0.1203
140.57,0.2225
200,0.037
145.5,0.2096
181,0.1419
107.53,0.2536
198,0.067
120.9,0.1763
212.22,0.1793
100.15,0.1714
255.9,0.0543
113.54,0.0541
103.11,0.0662
105.61,0.0654
108.35,0.1826
115.93,0.0618
149.52,0.2869
107.62,0.2418
174,0.0828
100.2,0.1712
214.63,0.0398
124.14,0.0519
126.96,0.0801
221.8,0.0624
149.8,0.0597
147.86,0.0928
302.5,0.0578
115.38,0.0397
165.75,0.0555
113.24,0.0653
112.59,0.2149
164.8,0.0438
103.14,0.1586
237.26,0.0706
122.57,0.2283
138.13,0.1402
122.17,0.0675
118.71,0.0431
183.66,0.0362
120.6,0.0706
119.08,0.0505
154.79,0.0666
120.56,0.0466
260.94,0.0435
232,0.0671
151.46,0.1764
120.07,0.0603
109.81,0.0426
126.42,0.2509
141.55,0.0733
204.89,0.0395
136.04,0.0698
170.02,0.0523
104.45,0.0471
123.68,0.0568
119.08,0.0465
146.59,0.0893
222.62,0.0525
134.55,0.0605
148.71,0.0528
174.1,0.0463
209,0.0482
188.16,0.0504
113,0.164
182.25,0.0755
108,0.0364
145.42,0.0503
156.6,0.0557
109.79,0.0676
131.03,0.054
142.38,0.0597
151.14,0.0433
132.21,0.0531
132.93,0.0492
151.13,0.0395
170.63,0.0618
184.93,0.048
120.99,0.0422
124.97,0.0639
104.87,0.0447
154.78,0.0642
148.39,0.0535
116.69,0.0615
154.1,0.0642
101.17,0.0819
121.04,0.0834
106.66,0.1135
157.51,0.0638
130.4,0.0566
159,0.066
101.03,0.0408
103.26,0.233
168.42,0.0528
136.39,0.2299
128.36,0.0533
116.25,0.041
159.94,0.0349
143.19,0.0602
136.12,0.0465
124,0.1164
103.87,0.14
120.49,0.0396
108.99,0.1708
102.78,0.087
148.49,0.0428
103.9,0.0411
168.9,0.0575
134.43,0.0595
178.6,0.0436
109.09,0.0448
139.89,0.044
103,0.036
121.6,0.045
126.59,0.0412
148.06,0.0262
140.69,0.0482
229.44,0.0628
122.92,0.0425
158.55,0.0618
132.27,0.0592
106.52,0.2189
139.77,0.384
118.35,0.0566
155.17,0.1948
131.31,0.0528
106.1,0.051
115.76,0.0535
141.72,0.0453
105.92,0.0335
188.62,0.0655
120.58,0.0609
165.01,0.0692
100.51,0.19
114.17,0.0506
124.9,0.0468
161.61,0.0606
123.57,0.0554
129.01,0.0455
141.25,0.042
208.77,0.0515
127.1,0.0469
163.08,0.049
224.96,0.0764
115.53,0.0634
125.57,0.0399
134.19,0.1994
116.76,0.0493
150.13,0.0589
139.39,0.0427
115.55,0.0622
115,0.04
105.94,0.0454
142.35,0.0441
326.06,0.054
106.17,0.0379
115.65,0.0626
101.22,0.0388
222.39,0.1694
151.42,0.0452
111.29,0.0415
168.16,0.0383
102.81,0.05
135.47,0.0328
109.07,0.0937
113.34,0.0379
124.72,0.0539
140.92,0.0471
120.29,0.0606
225,0.025
100.73,0.0437
127.4,0.0425
108.87,0.0378
100.88,0.0359
134.65,0.0604
194.73,0.0587
316.62,0.0742
134.22,0.0432
127.57,0.051
105.52,0.041
107.53,0.0608
171.71,0.0503
102.97,0.0415
110.5,0.0497
137.08,0.0458
106.44,0.0429
117.66,0.0594
151.17,0.0655
103.68,0.0787
170.37,0.0384
103.52,0.0329
157.58,0.052
109.56,0.047
141.9,0.042
116.44,0.0343
166.66,0.0444
116.73,0.0381
125.64,0.0753
142.82,0.0403
126.27,0.0308
103.34,0.0419
105.19,0.0473
101.58,0.0298
164.31,0.0313
101.62,0.0633
122.67,0.0422
166,0.15
114.63,0.0471
111.14,0.0624
111.01,0.0433
116.14,0.0476
116.26,0.0626
102.46,0.0611
190,0.044
302,0.045
328,0.022
900,0.07
