ID 3,Name,semi major axis (AU),eccentricity of the orbit,inclination of the orbit wrt J2000 ecliptic plane,longitude of the ascending node,argument of the perihelion (J2000 ecliptic),perihelion distance (comets only),aphelion distance (AU),period (years),data-arc span,codition code,# observations used (total),# of delay radar observations,# of Doppler radar observations used in fit,absolute magnitude,diameter (from equivalent sphere),object bi/tri axial ellipsoid dimensions,geometric albedo,rotation period,mass expressed as product of mass and gravity,color index BV,color index UB,color index IR,spectral taxonomic type (SMASSII),spectral taxonomic type (Tholen)
id,full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T
a0000566,566 Stereoskopia (1905 QO),3.381371978,0.11250759,4.898919062,80.22764526,295.7197227,3.000941964,3.761801992,6.217955737,39699,0,1335,,,8,168.16,,0.0383,12.103,,0.712,0.291,,,C
a0000567,567 Eleutheria (1905 QP),3.135687614,0.093062767,9.260974451,58.428608,133.4903116,2.843871848,3.427503381,5.552740632,39762,0,1262,,,9.16,93.41,,0.0439,7.72,,0.652,0.309,,,CFB:
a0000568,568 Cheruskia (1905 QS),2.882481857,0.166651017,18.39309528,249.8992964,174.5668469,2.402113325,3.36285039,4.893933638,39132,0,1265,,,9.4,86.99,,0.0535,13.209,,,,,,
a0000569,569 Misa (1905 QT),2.657221869,0.180159545,1.292961154,301.8078733,143.0626967,2.178497986,3.135945752,4.331615801,38063,0,1482,,,10.12,72.95,,0.0297,13.52,,0.716,0.335,,Cg,C
a0000570,570 Kythera (1905 QX),3.417775675,0.121449029,1.786823463,223.903294,155.2066389,3.002690138,3.832861212,6.318638858,39589,0,1599,,,8.81,102.81,,0.05,8.12,,0.775,0.374,,T,ST
a0000572,572 Rebekka (1905 RB),2.401251058,0.156860161,10.57103177,194.6171618,192.2296855,2.024590431,2.777911684,3.721041863,39608,0,1320,,,10.94,29.63,,0.0847,5.6497,,0.691,0.308,,C,XDC
a0000573,573 Recha (1905 RC),3.013528805,0.114525523,9.832709566,342.9670743,29.06874073,2.668402844,3.358654766,5.231439689,39390,0,1335,,,9.4,48,,0.1109,7.16633,,,,,,
a0000574,574 Reginhild (1905 RD),2.252603886,0.239399205,5.683030413,336.8173189,76.84359458,1.713332307,2.791875465,3.380924291,39570,0,992,,,12.3,7.46,,0.3819,14.339,,,,,,S
a0000575,575 Renate (1905 RE),2.554098074,0.127851553,15.01199328,349.6889529,334.1293881,2.227552668,2.880643479,4.081920636,39648,0,1304,,,10.7,21.26,,0.1706,3.676,,,,,,
a0000576,576 Emanuela (1905 RF),2.985120038,0.195833388,10.22862243,299.9485494,26.26662198,2.400533868,3.569706208,5.157638533,32758,0,1302,,,9.3,84.68,,0.0428,8.192,,,,,,
a0000577,577 Rhea (1905 RH),3.111898555,0.15461381,5.296582808,328.5897049,330.9773756,2.630756062,3.593041048,5.489671392,39619,0,1478,,,9.3,39.53,,0.1792,12.249,,,,,,
a0000578,578 Happelia (1905 RZ),2.750241239,0.193956393,6.15174392,29.41552804,261.5574256,2.216814367,3.28366811,4.561045314,39329,0,1560,,,9.4,69.29,,0.0769,10.061,,,,,Xc,
a0000579,579 Sidonia (1905 SD),3.012358713,0.080879713,11.00760705,82.74675853,229.1859833,2.768720005,3.255997422,5.228393093,38899,0,1118,,,7.85,85.57,,0.1748,16.286,,0.818,0.418,,K,S
a0000580,580 Selene (1905 SE),3.231471203,0.083034669,3.661459104,99.1601125,334.1222051,2.963147061,3.499795345,5.809097121,39297,0,1353,,,10.1,45.79,,0.1218,9.47,,,,,,
a0000581,581 Tauntonia (1905 SH),3.211731,0.031275062,21.88935719,102.6236743,28.55669642,3.111283914,3.312178085,5.755949137,39219,0,922,,,9.7,63.66,,0.0758,16.54,,,,,Xk,
a0000582,582 Olympia (1906 SO),2.610372567,0.222094577,30.03670725,155.720423,310.5834655,2.030622977,3.190122157,4.217566581,39341,0,1449,,,9.11,43.41,,0.2128,36.21,,0.891,0.534,,,S
a0000583,583 Klotilde (1905 SP),3.171574605,0.162032963,8.251370224,257.9657385,252.7341828,2.657674975,3.685474235,5.648336993,39128,0,1256,,,9.01,81.64,,0.066,9.2116,,0.664,0.306,,,C
a0000584,584 Semiramis (1906 SY),2.373983108,0.233138503,10.72846919,282.2363286,84.8145555,1.820516241,2.927449975,3.657839444,39254,0,988,,,8.71,54.01,,0.1987,5.068,,0.916,0.521,,Sl,S
a0000585,585 Bilkis (1906 TA),2.430728071,0.1285344,7.565495678,180.2998202,329.1304798,2.118295898,2.743160244,3.789769243,39249,0,1452,,,10.4,58.09,,0.0362,8.5751,,0.702,0.32,,,C
a0000586,586 Thekla (1906 TC),3.043282937,0.060148068,1.625291248,228.463694,250.3177253,2.860235346,3.226330527,5.309109695,39198,0,1708,,,9.21,82.37,,0.0539,13.67,,0.66,0.372,,Ch,C:
a0000588,588 Achilles (1906 TG),5.201382146,0.147900867,10.31573562,316.5862113,133.3161434,4.432093219,5.970671074,11.86277645,39492,0,1042,,,8.67,135.47,,0.0328,7.306,,0.755,0.216,,,DU
a0000589,589 Croatia (1906 TM),3.134740869,0.038992214,10.81352949,177.6077516,220.4609901,3.012510382,3.256971357,5.550226049,39330,0,1372,,,9,87.54,,0.0509,24.821,,0.73,0.368,,,CX
a0000590,590 Tomyris (1906 TO),3.001252361,0.080066064,11.18041055,106.1992856,341.0699226,2.760953898,3.241550824,5.199504691,39481,0,1030,,,9.9,39.87,,0.1218,5.562,,0.817,0.41,,,
a0000591,591 Irmgard (1906 TP),2.678555539,0.207496826,12.49042805,334.2975266,217.4267206,2.122763767,3.234347311,4.383885332,39395,0,1133,,,10.64,51.86,,0.0364,7.35,,0.693,0.299,,,X
a0000593,593 Titania (1906 TT),2.700861363,0.214859017,16.88436052,76.01295354,30.99304762,2.120556945,3.281165782,4.438759764,39162,0,880,,,9.28,75.32,,0.0604,9.899,,0.657,0.314,,,C
a0000594,594 Mireille (1906 TW),2.627307007,0.352973197,32.59595014,155.1264197,76.81068457,1.699938052,3.554675961,4.258674413,39331,0,824,,,12.01,9.23,,0.3255,4.966,,0.964,0.588,,,
a0000595,595 Polyxena (1906 TZ),3.208708582,0.061612104,17.82446821,23.92384603,279.0303783,3.011013297,3.406403868,5.747826046,39444,0,1152,,,7.8,109.07,,0.0937,11.801,,,,,,
a0000596,596 Scheila (1906 UA),2.926250471,0.164878228,14.66229782,70.69906275,175.5388681,2.443775478,3.408725465,5.005822514,39365,0,2855,,,8.9,113.34,,0.0379,15.851,,0.714,0.177,,T,PCD
a0000597,597 Bandusia (1906 UB),2.672398661,0.143981134,12.7997748,36.57119861,307.7127654,2.28762367,3.057173651,4.368778944,35559,0,1093,,,9.1,36.06,,0.2361,11.5,,,,,S,
a0000598,598 Octavia (1906 UC),2.762912383,0.246940343,12.22571424,91.85885574,291.2424997,2.080637852,3.445186913,4.592602644,38819,0,1133,,,9.53,72.33,,0.0521,10.8903,,0.745,0.377,,X,C:
a0000599,599 Luisa (1906 UJ),2.773247158,0.292226438,16.65945144,44.62820111,293.0024312,1.962831021,3.583663296,4.618394925,39355,0,1379,,,8.71,64.87,,0.1377,9.566,,0.879,0.446,,K,S
a0000600,600 Musa (1906 UM),2.659288073,0.055238908,10.19957717,139.304662,114.6144578,2.512391905,2.806184241,4.336669053,39371,0,1250,,,10.18,24.9,,0.2415,5.8856,,0.84,0.44,,S,
a0000601,601 Nerthus (1906 UN),3.139144323,0.1015142,16.08419246,169.7201048,157.5556188,2.820476598,3.457812047,5.561924979,39333,0,1265,,,9.65,73.32,,0.0454,13.59,,0.66,,,C,X
a0000602,602 Marianna (1906 TE),3.091446695,0.246916658,15.09555463,331.5099329,46.21328528,2.328117009,3.85477638,5.435642003,39468,0,1166,,,8.31,124.72,,0.0539,35.195,,0.692,0.333,,,C
a0000603,603 Timandra (1906 TJ),2.537892364,0.174419904,8.026467665,343.4612818,159.9699332,2.095233422,2.980551305,4.043132748,39343,0,931,,,11.8,13.73,,0.1354,41.79,,,,,,
a0000604,604 Tekmessa (1906 TK),3.147261132,0.199435002,4.42160592,12.18998819,28.88298279,2.519587102,3.774935162,5.58351092,37650,0,1349,,,9.4,65.16,,0.087,5.5596,,,,,Xc,
a0000605,605 Juvisia (1906 UU),3.000131957,0.139772863,19.6607016,342.8554324,14.69309836,2.580794924,3.41946899,5.196593405,38991,0,1084,,,10,69.86,,0.0397,15.93,,,,,,
a0000606,606 Brangane (1906 VB),2.587611542,0.219869701,8.620433112,318.7161798,57.36911381,2.018674166,3.156548917,4.162524682,38972,0,1167,,,10.2,35.54,,0.0986,12.295,,0.77,0.391,,K,TSD
a0000607,607 Jenny (1906 VC),2.855773901,0.074372134,10.11351343,285.2949843,289.4093304,2.643383902,3.068163901,4.826073509,39240,0,1186,,,9.9,62.78,,0.0711,8.526,,,,,,
a0000608,608 Adolfine (1906 VD),3.020749297,0.124552724,9.381211142,293.862483,71.77574451,2.644506744,3.396991851,5.250252942,37478,0,1035,,,10.8,25.18,,0.1603,8.3458,,,,,,
a0000609,609 Fulvia (1906 VF),3.086696157,0.041318703,4.187807769,165.3528559,113.6275209,2.959157874,3.21423444,5.423117624,39078,0,1338,,,10.2,54.17,,0.0602,12,,,,,,
a0000611,611 Valeria (1906 VL),2.979818729,0.119241106,13.43986452,189.447287,256.7072025,2.624501849,3.335135609,5.14390537,40900,0,1248,,,9.19,56.97,,0.1148,6.977,,0.817,0.414,,L,S
a0000612,612 Veronika (1906 VN),3.161199805,0.257917078,20.80551644,203.4555156,120.8326309,2.345872388,3.976527223,5.620644559,39236,0,1130,,,10.7,37.74,,0.0411,8.243,,,,,,
a0000613,613 Ginevra (1906 VP),2.920025336,0.059576368,7.666775371,354.8204158,62.48793575,2.746060832,3.093989839,4.989857367,41060,0,1342,,,9.67,80.04,,0.0374,13.024,,0.692,0.285,,,P
a0000614,614 Pia (1906 VQ),2.692906016,0.111583715,7.027176543,217.3055674,208.9657623,2.392421559,2.993390473,4.419162759,39247,0,1310,,,11,25.81,,0.1056,4.572,,,,,C,
a0000615,615 Roswitha (1906 VR),2.632597445,0.110272595,2.760510555,13.55942509,246.5692987,2.342294092,2.922900797,4.271544011,40682,0,1559,,,10.2,47.89,,0.0553,4.422,,0.708,0.315,,,CX
a0000616,616 Elly (1906 VT),2.552731265,0.059614366,14.95988227,356.1184139,107.618883,2.400551809,2.704910721,4.078644456,39254,0,1198,,,10.68,18.15,,0.2866,5.297,,0.889,0.442,,,S
a0000617,617 Patroclus (1906 VY),5.21730351,0.139513679,22.05087394,44.36600305,308.4081135,4.489418302,5.945188718,11.91728581,39193,0,1038,,,8.19,140.92,,0.0471,102.8,,0.677,0.215,,,P
a0000618,618 Elfriede (1906 VZ),3.189851715,0.073887094,17.03823485,111.074307,228.3464259,2.954162841,3.42554059,5.697232518,38992,0,1122,,,8.2,120.29,,0.0606,14.801,,0.696,0.317,,,C
a0000621,621 Werdandi (1906 WJ),3.126692902,0.138838646,2.314970572,67.12312898,31.82770161,2.692587094,3.560798711,5.528865741,37153,0,1489,,,10.49,27.15,,0.1527,11.776,,0.65,0.285,,,FCX:
a0000623,623 Chimaera (1907 XJ),2.460900779,0.112434015,14.13021635,308.3534934,124.7090692,2.184211824,2.737589735,3.860551568,38078,0,965,,,10.97,44.09,,0.0372,14.635,,0.714,0.324,,,XC
a0000624,624 Hektor (1907 XM),5.248501476,0.024304625,18.17070056,342.8130121,181.4732368,5.120938614,5.376064338,12.02433834,39138,0,1423,,,7.2,225,,0.025,6.924,,0.776,0.249,,,D
a0000625,625 Xenia (1907 XN),2.648961793,0.22569437,12.07551429,127.5505487,200.5128442,2.051106029,3.246817557,4.311434015,39139,0,1298,,,9.9,28.37,,0.2195,21.101,,,,,Sa,
a0000626,626 Notburga (1907 XO),2.575004915,0.242193655,25.36003707,341.6472615,43.86034596,1.951355062,3.198654767,4.132142553,39139,0,1077,,,9,100.73,,0.0437,19.353,,0.705,0.332,,Xc,CX
a0000627,627 Charis (1907 XS),2.898884469,0.059764731,6.477404362,142.5354663,174.0159209,2.725633417,3.07213552,4.935766016,39039,0,1501,,,9.95,48.51,,0.0786,27.888,,0.68,0.261,,X,XB:
a0000628,628 Christine (1907 XT),2.582664125,0.042624194,11.53191397,112.1456821,205.8858185,2.472580148,2.692748103,4.150592502,39115,0,1388,,,9.25,49.72,,0.1426,16.1783,,0.813,0.321,,,SD
a0000629,629 Bernardina (1907 XU),3.139018697,0.153881466,9.25427164,86.58287272,35.22792139,2.655981899,3.622055494,5.561591106,38801,0,1055,,,10,30.1,,0.214,3.763,,,,,X,
a0000630,630 Euphemia (1907 XW),2.624349768,0.11087845,13.85632245,105.4312717,39.88022241,2.333365933,2.915333604,4.251486232,32880,0,1103,,,11,17.21,,0.2375,350,,,,,,
a0000631,631 Philippina (1907 YJ),2.79198337,0.082324639,18.91940342,224.7279358,277.5090785,2.562134347,3.021832392,4.665277085,39097,0,1061,,,8.7,57.65,,0.176,5.899,,0.864,0.439,,S,S
a0000633,633 Zelima (1907 ZM),3.016731654,0.084804493,10.91630637,147.3881144,186.8204316,2.760899256,3.272564052,5.23978205,38969,0,1262,,,9.73,34.37,,0.1918,11.724,,0.765,0.445,,S,S
a0000634,634 Ute (1907 ZN),3.046461794,0.185812112,12.28870647,133.4493872,220.5554123,2.480392294,3.612531294,5.317430303,38748,0,1379,,,9.7,69.44,,0.053,11.7554,,,,,X,
a0000635,635 Vundtia (1907 ZS),3.142864579,0.076618521,11.02755858,183.0610378,223.6185734,2.902062943,3.383666215,5.571815213,38826,0,1319,,,9.01,98.24,,0.0456,11.79,,0.675,0.336,,,C
a0000636,636 Erika (1907 XP),2.909798662,0.172867548,7.926285064,34.68888814,297.6080473,2.406788902,3.412808421,4.963666701,38442,0,1333,,,9.5,74.29,,0.0507,14.603,,,,,,
a0000637,637 Chrysothemis (1907 YE),3.172038059,0.124803963,0.271565673,353.4258233,172.4265723,2.776155138,3.56792098,5.649575104,39100,0,1672,,,11.5,33.3,,0.0633,,,,,,,
a0000638,638 Moira (1907 ZQ),2.736408903,0.160196494,7.717799463,103.2356651,128.3916888,2.29804579,3.174772017,4.526678958,39521,0,1535,,,10,65.44,,0.0496,9.875,,,,,Ch,
a0000639,639 Latona (1907 ZT),3.021762558,0.103021122,8.575313759,280.0477698,69.51709013,2.71045719,3.333067926,5.25289483,38980,0,1186,,,8.2,71.25,,0.1826,6.22,,0.836,0.477,,,S
a0000640,640 Brambilla (1907 ZW),3.159916948,0.080515579,13.37115876,234.9434512,31.79425168,2.905494405,3.414339491,5.617223508,38677,0,1250,,,9.1,80.79,,0.0686,7.768,,0.753,0.465,,,G
a0000642,642 Clara (1907 ZY),3.19292191,0.121843827,8.168433855,5.91396117,117.8022391,2.803884086,3.581959734,5.705459775,38646,0,1191,,,9.98,33.36,,0.1617,8.2308,,0.897,0.417,,L,S
a0000643,643 Scheherezade (1907 ZZ),3.360109878,0.058652164,13.77140195,252.2115521,230.7313181,3.163032164,3.557187592,6.159400179,38909,0,1273,,,9.7,71.57,,0.0446,14.161,,0.719,0.302,,,P
a0000644,644 Cosima (1907 AA),2.597941913,0.156117359,1.04082801,109.9714049,268.8639598,2.192358084,3.003525743,4.187476253,38929,0,1710,,,11.13,19.92,,0.1572,7.556,,0.816,0.413,,,S
a0000645,645 Agrippina (1907 AG),3.212534914,0.146296793,7.042607883,0.181406514,84.14624791,2.742551358,3.682518469,5.758110391,38633,0,1184,,,9.94,28,,0.2381,32.6,,0.871,0.412,,,S
a0000648,648 Pippa (1907 AE),3.209154748,0.194389268,9.801618686,291.2448157,177.9872015,2.585329507,3.832979989,5.749024928,38587,0,1001,,,9.68,68.27,,0.0509,9.263,,0.676,0.278,,,XC
a0000651,651 Antikleia (1907 AN),3.02389289,0.10020452,10.75576242,38.0543295,355.4739295,2.720885155,3.326900626,5.258450718,38892,0,1147,,,10.01,33.04,,0.1603,20.299,,0.847,0.489,,,S
a0000652,652 Jubilatrix (1907 AU),2.555624558,0.125448454,15.75461745,86.28475981,276.8136457,2.235025409,2.876223707,4.085580589,38391,0,1121,,,10.9,16.87,,0.171,2.6627,,,,,,
a0000653,653 Berenike (1907 BK),3.014265366,0.039590215,11.29088033,132.8708684,54.96414922,2.89492995,3.133600781,5.233357792,38843,0,1326,,,9.2,39.22,,0.2444,12.4886,,0.833,0.424,,K,S
a0000654,654 Zelinda (1908 BM),2.29735008,0.23119811,18.12739734,278.4819818,213.9502102,1.766207082,2.828493077,3.482162001,38641,0,1487,12,0,8.52,127.4,,0.0425,31.735,,0.698,0.328,,Ch,C
a0000655,655 Briseis (1907 BF),2.989801015,0.087378055,6.497236381,130.07031,278.5648894,2.728558018,3.251044012,5.169774853,38572,0,1473,,,9.9,30.79,,0.2693,160.66,,,,,,
a0000656,656 Beagle (1908 BU),3.150573417,0.135786268,0.514582126,184.4755566,331.0581711,2.722768809,3.578378025,5.592327654,38793,0,1853,,,10,53.17,,0.0625,7.035,,,,,,
a0000657,657 Gunlod (1908 BV),2.611027521,0.112012568,10.2307872,297.6053717,244.9829474,2.318559624,2.903495419,4.219153991,38793,0,1186,,,10.93,42.52,,0.0415,15.6652,,,,,,
a0000658,658 Asteria (1908 BW),2.855287137,0.065239896,1.505824788,351.0137143,62.08441473,2.6690085,3.041565773,4.824839662,39301,0,1474,,,10.54,22.95,,0.204,21.034,,0.87,0.36,,,S
a0000659,659 Nestor (1908 CS),5.187124649,0.114788109,4.522009003,350.8668784,341.7776415,4.59170442,5.782544878,11.81403434,38728,0,1391,,,8.99,108.87,,0.0378,15.98,,0.719,0.249,,,XC
a0000660,660 Crescentia (1908 CC),2.533422937,0.108052268,15.20421183,156.9856626,106.174124,2.259680842,2.807165033,4.032457043,38284,0,1332,,,9.14,42.24,,0.2186,7.92,,0.86,0.475,,,S
a0000661,661 Cloelia (1908 CL),3.016787201,0.033827103,9.231488941,335.8311883,180.2285085,2.914738029,3.118836374,5.239926771,34875,0,1279,,,9.6,48.05,,0.1076,5.536,,0.793,0.395,,K,S
a0000662,662 Newtonia (1908 CW),2.552724429,0.216572468,4.120163975,133.7485051,165.6850984,1.9998746,3.105574257,4.078628071,38160,0,1692,,,10.2,23.62,,0.1999,16.46,,,,,,
a0000663,663 Gerlinde (1908 DG),3.067764044,0.14606984,17.82286878,232.8860054,310.7088529,2.619656241,3.515871847,5.373300533,38638,0,1344,,,9.21,100.88,,0.0359,10.251,,0.677,0.308,,,X
a0000664,664 Judith (1908 DH),3.199225839,0.229481672,8.569413295,170.9722386,101.7843424,2.465062144,3.933389535,5.722364931,38635,0,1418,,,9.97,72.68,,0.0344,10.9829,,0.695,0.238,,,XC
a0000665,665 Sabine (1908 DK),3.145115307,0.170916261,14.74110707,298.4532646,319.0257183,2.607563958,3.682666656,5.577801576,39530,0,1200,,,8.5,51.09,,0.3895,4.294,,,,,,
a0000666,666 Desdemona (1908 DM),2.594752447,0.237201496,7.57994839,215.4696372,174.3377973,1.979273286,3.210231608,4.179767238,38590,0,1368,,,10.6,27.04,,0.1055,15.45,,,,,,
a0000667,667 Denise (1908 DN),3.181342457,0.191772571,25.40473172,153.2628286,305.8026519,2.571248235,3.791436679,5.674450795,38611,0,1167,,,9.4,81.28,,0.0737,12.687,,,,,,
a0000668,668 Dora (1908 DO),2.793466326,0.234805557,6.84224508,214.4624855,113.3531555,2.137544909,3.449387743,4.668994507,38603,0,1144,,,12,26.84,,0.0467,22.914,,,,,Ch,
a0000669,669 Kypria (1908 DQ),3.010098158,0.07940655,10.7829561,170.816097,114.2332426,2.771076649,3.249119666,5.222508904,39465,0,1295,,,10.24,31.75,,0.1405,14.283,,0.82,0.47,,,S
a0000670,670 Ottegebe (1908 DR),2.801433343,0.194077733,7.535555951,174.6943316,195.4337027,2.257737511,3.345129175,4.688982829,39042,0,1462,,,9.4,34.07,,0.183,10.045,,,,,S,
a0000671,671 Carnegia (1908 DV),3.09209513,0.067950669,8.028292806,0.526482342,91.3932813,2.881985198,3.302205063,5.437352294,36291,0,1328,,,10.2,58.72,,0.0512,,,,,,Xk,
a0000673,673 Edda (1908 EA),2.816223659,0.01224772,2.876307137,226.7757163,239.9033953,2.781731339,2.850715978,4.726165397,38542,0,1653,,,10.2,37.53,,0.1044,14.92,,0.782,0.427,,S,S
a0000674,674 Rachele (1908 EP),2.92214769,0.195755684,13.51164104,58.20483876,42.29041966,2.350120669,3.494174711,4.995298503,41201,0,1003,,,7.42,97.35,,0.2007,30.982,,0.84,0.415,,S,S
a0000675,675 Ludmilla (1908 DU),2.771324356,0.200962243,9.783558683,263.2746051,152.0471214,2.214392799,3.328255914,4.613592584,35146,0,1141,,,7.91,76,,,7.717,,0.847,0.444,,S,S
a0000676,676 Melitta (1909 FN),3.059661683,0.124119134,12.86462276,150.3841686,182.1486617,2.679899124,3.439424243,5.352027225,38302,0,1350,,,9.4,79.99,,0.0526,7.87,,,,,,XC
a0000677,677 Aaltje (1909 FR),2.953752271,0.050982525,8.488405339,272.8688915,278.0438001,2.803162522,3.104342021,5.076557448,39175,0,1200,,,9.5,28.87,,0.2794,16.608,,,,,Sl,
a0000678,678 Fredegundis (1909 FS),2.573839274,0.218494383,6.083559417,281.4262767,120.2017947,2.011469849,3.136208698,4.129337093,36981,0,1185,,,9.02,41.8,,0.2494,11.61624,,,,,X,
a0000679,679 Pax (1909 FY),2.585399686,0.311681822,24.38825374,112.266291,266.8029265,1.779577602,3.39122177,4.157188716,38413,0,1169,,,9.01,51.47,,0.166,8.452,,0.857,0.447,,K,I
a0000680,680 Genoveva (1909 GW),3.148354057,0.29282258,17.48652424,38.10894128,245.4362004,2.226444899,4.070263215,5.586419586,38323,0,1211,,,9.31,83.92,,0.0474,11.089,,0.689,0.271,,,XC
a0000683,683 Lanzia (1909 HC),3.116709516,0.05539784,18.50490619,259.7412459,283.3666298,2.944050542,3.289368489,5.502406768,36621,0,1083,,,8.7,83.04,,0.1474,8.63,,0.689,0.305,,,
a0000685,685 Hermia (1909 HE),2.236783355,0.195897979,3.647303182,235.3558088,80.39904076,1.798602015,2.674964694,3.345369442,31960,0,1658,,,12,10.95,,0.2807,50.44,,,,,,
a0000686,686 Gersuind (1909 HF),2.588542248,0.268490895,15.67829062,243.365687,88.28665458,1.893542222,3.283542273,4.164770634,38102,0,1191,,,9.67,41.13,,0.1416,6.3127,,0.839,0.424,,,S
a0000688,688 Melanie (1909 HH),2.697037317,0.139273029,10.24477965,170.9190995,139.6595781,2.321412761,3.072661873,4.429336094,36806,0,1284,,,10.59,41.4,,0.0599,18.87,,0.76,,,C,
a0000689,689 Zita (1909 HJ),2.315369406,0.230276453,5.744209616,168.1812931,188.1860787,1.782194353,2.84854446,3.523210877,26433,0,1373,,,12.15,14.36,,0.1183,6.425,,0.71,0.306,,,CX:
a0000690,690 Wratislavia (1909 HZ),3.145991035,0.182072036,11.26577456,253.1771098,114.9172,2.573194041,3.718788029,5.580131368,40594,0,1082,,,8.02,134.65,,0.0604,8.64,,0.675,0.316,,,CPF
a0000691,691 Lehigh (1909 JG),3.01278637,0.119068402,13.02651819,88.18993836,304.1140478,2.65405871,3.371514029,5.229506523,36242,0,1035,,,9.2,87.68,,0.0438,12.891,,0.743,0.34,,,CD:
a0000692,692 Hippodamia (1901 HD),3.384141931,0.170340266,26.0820935,63.50172809,54.28548531,2.807686294,3.960597569,6.225597742,41065,0,1040,,,9.18,45.9,,0.1785,8.98,,0.86,0.435,,,S
a0000693,693 Zerbinetta (1909 HN),2.944020084,0.031441742,14.1934339,351.8816282,289.3604034,2.851454965,3.036585203,5.05148834,38174,0,1252,,,9.4,67.66,,0.0683,11.475,,0.776,0.411,,,ST
a0000694,694 Ekard (1909 JA),2.669942474,0.324161019,15.84199839,230.3657987,110.8932918,1.804451202,3.535433747,4.362757349,37836,0,1259,,,9.17,90.78,,0.046,5.925,,0.712,0.347,,,CP:
a0000695,695 Bella (1909 JB),2.539779098,0.159683008,13.85183454,275.7155632,79.15849122,2.134219533,2.945338663,4.047642238,36410,0,981,,,9.3,48.18,,0.145,14.222,,0.871,0.408,,,S
a0000696,696 Leonora (1910 JJ),3.168474807,0.251473954,13.0375815,299.5211383,104.1882603,2.371685918,3.965263696,5.640058256,34133,0,1179,,,9.4,75.76,,0.0773,26.8964,,,,,,XC
a0000697,697 Galilea (1910 JO),2.879938818,0.156659912,15.14291654,15.55412801,333.3988503,2.428767855,3.331109781,4.887458634,38040,0,1147,,,9.63,80.14,,0.0387,16.538,,0.735,0.391,,,C:
a0000698,698 Ernestina (1910 JX),2.868732928,0.108924861,11.52899033,40.66103862,99.15883537,2.556256593,3.181209263,4.858960626,37391,0,1296,,,10.8,27.03,,0.1269,5.0363,,,,,,
a0000700,700 Auravictrix (1910 KE),2.229684421,0.103744663,6.790426644,96.85006578,101.9839469,1.998366562,2.46100228,3.329456164,37753,0,1334,,,11,15.44,,0.2455,6.075,,,,,,
a0000701,701 Oriola (1910 KN),3.0142127,0.032503736,7.141952675,243.7638375,326.0872731,2.916239525,3.112185875,5.233220637,39210,0,1426,,,9.25,40.18,,0.2184,9.09,,0.66,0.296,,,C
a0000702,702 Alauda (1910 KQ),3.191997731,0.020054628,20.61127976,289.9331327,351.6709591,3.127983406,3.256012057,5.702982819,37799,0,1545,,,7.25,194.73,,0.0587,8.348,,0.665,0.316,,B,C
a0000704,704 Interamnia (1910 KU),3.058552205,0.153804736,17.31011666,280.3124195,95.46291852,2.588132392,3.528972018,5.349116404,37395,0,3130,,,5.94,316.62,,0.0742,8.727,5,0.645,0.259,,B,F
a0000705,705 Erminia (1910 KV),2.9237158,0.048596139,25.0405921,2.900649,100.7403287,2.7816345,3.065797099,4.999319977,37509,0,987,,,8.39,134.22,,0.0432,53.96,,0.696,0.288,,C,X
a0000706,706 Hirundo (1910 KX),2.72809547,0.194526371,14.46964733,325.5113882,29.89098094,2.197408958,3.258781981,4.506066004,37079,0,1121,,,10.9,29.22,,0.1721,22.027,,,,,Cgh,
a0000708,708 Raphaela (1911 LJ),2.669360308,0.086769281,3.491689653,355.2051201,197.803365,2.437741832,2.900978783,4.361330513,44188,0,1509,,,10.61,21.43,,0.2193,20.918,,0.88,0.376,,,S
a0000709,709 Fringilla (1911 LK),2.913789363,0.112463793,16.29361201,324.4963164,17.06286608,2.586093559,3.241485167,4.973881481,39456,0,1143,,,9.04,96.56,,0.0459,52.4,,0.715,0.326,,,X
a0000710,710 Gertrud (1911 LM),3.126914142,0.135396245,1.750102366,140.2001551,100.3126427,2.70354171,3.550286574,5.529452572,37544,0,1495,,,11.1,26.81,,0.0893,8.288,,,,,,
a0000712,712 Boliviana (1911 LO),2.575703163,0.186339229,12.76143672,230.8992142,181.8374255,2.095748621,3.055657706,4.1338234,37577,0,1320,,,8.32,127.57,,0.051,11.732,,0.743,0.353,,X,C
a0000713,713 Luscinia (1911 LS),3.390008851,0.164901502,10.35870662,217.7158992,137.0615677,2.8309913,3.949026401,6.241794272,37430,0,1254,,,8.97,105.52,,0.041,8.28,,0.663,0.281,,C,C
a0000714,714 Ulula (1911 LW),2.53461312,0.056662347,14.26791187,233.9131728,232.6296487,2.390995991,2.678230248,4.035299003,37436,0,1307,,,9,39.18,,0.2711,6.998,,0.884,0.454,,,S
a0000715,715 Transvaalia (1911 LX),2.767652996,0.0835292,13.80437772,46.19043518,299.0777136,2.536473156,2.998832836,4.604427714,37393,0,1150,,,10,28.55,,0.2606,11.8,,,,,X,
a0000716,716 Berkeley (1911 MD),2.813515592,0.084718335,8.480360409,145.9922144,57.21618891,2.575159236,3.051871948,4.71935005,39344,0,1368,,,10.84,21.28,,0.1801,15.55,,0.86,0.351,,S,S
