ID 3,Name,semi major axis (AU),eccentricity of the orbit,inclination of the orbit wrt J2000 ecliptic plane,longitude of the ascending node,argument of the perihelion (J2000 ecliptic),perihelion distance (comets only),aphelion distance (AU),period (years),data-arc span,codition code,# observations used (total),# of delay radar observations,# of Doppler radar observations used in fit,absolute magnitude,diameter (from equivalent sphere),object bi/tri axial ellipsoid dimensions,geometric albedo,rotation period,mass expressed as product of mass and gravity,color index BV,color index UB,color index IR,spectral taxonomic type (SMASSII),spectral taxonomic type (Tholen)
id,full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T
a0000171,171 Ophelia,3.129839332,0.131405074,2.546797346,100.5399579,57.00390772,2.718562564,3.5411161,5.537213487,43748,0,1385,,,8.31,116.69,,0.0615,6.66535,,0.695,0.341,,C,C
a0000172,172 Baucis,2.379766723,0.115106207,10.0283429,331.9814466,359.2351577,2.105840802,2.653692644,3.671214697,39793,0,1031,,,8.79,62.43,,0.1382,27.417,,0.89,0.499,,L,S
a0000173,173 Ino,2.743661972,0.206004858,14.21166339,148.2728675,227.984597,2.178454277,3.308869668,4.544688362,49192,0,1266,,,7.66,154.1,,0.0642,6.163,,0.705,0.305,,Xk,C
a0000174,174 Phaedra,2.859259373,0.143803045,12.12980649,327.7198014,289.1795135,2.448089168,3.270429578,4.834911539,49834,0,1213,,,8.48,69.24,,0.1495,5.744,,0.858,0.484,,S,S
a0000175,175 Andromache,3.184066041,0.232678304,3.218920338,21.36481985,320.5529355,2.443202956,3.924929126,5.681739298,49857,0,1786,,,8.31,101.17,,0.0819,8.324,,0.706,0.332,,Cg,C
a0000176,176 Iduna,3.186469983,0.165893239,22.58765429,200.6786107,187.4598188,2.657856156,3.715083809,5.688175007,49793,0,1325,,,8.2,121.04,,0.0834,11.2877,,,,,Ch,G
a0000177,177 Irma,2.768717606,0.237912028,1.389484025,347.5588518,38.241464,2.110006385,3.427428826,4.607084689,49783,0,1409,,,9.49,73.22,,0.0527,13.856,,0.73,0.35,,Ch,C:
a0000178,178 Belisana,2.460079787,0.042530598,1.895225135,51.11470077,212.8227316,2.355451123,2.564708451,3.858619825,46863,0,1566,,,9.3,35.81,,0.2438,12.323,,0.904,0.486,,S,S
a0000179,179 Klytaemnestra,2.971951249,0.114288789,7.815268983,251.9428014,103.9101945,2.63229054,3.311611958,5.123546994,41800,0,1139,,,8.15,77.69,,0.1609,11.173,,0.832,0.408,,Sk,S
a0000181,181 Eucharis,3.129777378,0.203240805,18.89067227,143.2225624,318.7578023,2.493678904,3.765875853,5.53704908,44224,0,1210,,,7.84,106.66,,0.1135,52.23,,0.815,0.379,,Xk,S
a0000182,182 Elsa,2.416060112,0.1858932,2.004557924,107.2412257,310.2269307,1.966930968,2.865189257,3.755517633,40259,0,1278,,,9.12,43.68,,0.2083,80.088,,0.862,0.425,,S,S
a0000183,183 Istria,2.789742706,0.351476558,26.39336496,141.9594078,264.2086402,1.809213542,3.770271869,4.659662141,39480,0,1151,,,9.68,35.43,,0.189,11.77,,0.842,0.359,,S,S
a0000184,184 Dejopeja,3.186939593,0.067207277,1.143903519,331.6134679,209.1858551,2.97275406,3.401125125,5.689432506,44372,0,1588,,,8.31,66.47,,0.1897,6.455,,0.699,0.227,,X,X
a0000185,185 Eunike,2.73734987,0.12934323,23.23801695,153.8432589,224.2523629,2.383292195,3.091407545,4.529014036,47384,0,1914,,,7.62,157.51,,0.0638,21.797,,0.668,0.331,,C,C
a0000186,186 Celuta,2.361518136,0.14982094,13.17488499,14.83322249,314.9908514,2.00771327,2.715323002,3.629068201,47479,0,1051,,,8.91,49.99,,0.1929,19.842,,0.859,0.397,,K,S
a0000187,187 Lamberta,2.728537352,0.240687343,10.5855013,21.71559507,196.9229362,2.071812945,3.385261758,4.50716085,40435,0,1257,,,8.16,130.4,,0.0566,10.67,,0.709,0.348,,Ch,C
a0000188,188 Menippe,2.765478274,0.176928177,11.70283314,241.0434396,69.66635207,2.276187243,3.254769305,4.599001791,36082,0,1086,,,9.22,38.61,,0.2431,11.98,,0.891,0.386,,S,S
a0000189,189 Phthia,2.450803986,0.036773985,5.17618909,203.4416407,168.8191057,2.360678158,2.540929814,3.836816856,48979,0,1294,,,9.33,37.66,,0.231,22.346,,0.904,0.491,,Sa,S
a0000190,190 Ismene,3.999395546,0.166731446,6.165516134,175.5046293,272.49454,3.332570545,4.666220548,7.998337766,43608,0,1278,,,7.59,159,,0.066,6.52,,0.683,0.269,,X,P
a0000191,191 Kolga,2.893443204,0.0914416,11.5079833,159.3194316,227.3210026,2.628862127,3.158024281,4.92187574,47206,0,1401,,,9.07,101.03,,0.0408,17.604,,0.675,0.258,,Cb,XC:
a0000192,192 Nausikaa,2.402660055,0.246152539,6.813753881,343.2552695,30.07826253,1.811239183,2.994080927,3.724317473,49293,0,1685,1,0,7.13,103.26,,0.233,13.625,,0.927,0.487,,Sl,S
a0000194,194 Prokne,2.615556668,0.237664561,18.50774194,159.3163491,163.2769031,1.993931541,3.237181795,4.230136707,49324,0,1404,,,7.68,168.42,,0.0528,15.679,,0.724,0.341,,C,C
